book,author,title
mdp.39015005028686,King,The stand
mdp.39015010763418,Atwood,Lady oracle;
mdp.39015027242315,Atwood,The robber bride
mdp.39015029244657,Grisham,The pelican brief
mdp.39015031703609,Grisham,The rainmaker
mdp.39015038148048,King,Desperation
mdp.39015040702071,Atwood,Alias Grace
mdp.39015043780249,King,The girl who loved Tom Gordon
mdp.39015043798936,King,Bag of bones
mdp.39015046381565,Grisham,A time to kill
mdp.39015046788223,Grisham,The rainmaker
mdp.39015046835560,Grisham,The partner
mdp.39015054084192,Grisham,The testament
mdp.39015054263903,King,Everything's eventual : 14 dark tales
mdp.39015055831070,King,From a Buick 8 : a novel
mdp.39015058207492,Grisham,The last juror
mdp.39015060663583,Atwood,The handmaid's tale
mdp.39015062842383,Atwood,The Penelopiad
mdp.39015063682309,King,Cell : a novel
mdp.39015066084040,Grisham,The summons
mdp.39015070756609,Grisham,Playing for pizza
mdp.39015073669205,King,Duma Key
mdp.39015073669312,Grisham,The appeal
pst.000023498051,King,Carrie
pst.000026748658,Atwood,Bodily harm
pst.000026751405,Atwood,Cat's eye
pst.000044406462,Atwood,Life before man
pst.000050069378,Grisham,The king of torts (large print)
uc1.32106011612402,King,The dark half
uc1.32106012198112,King,Stephen King's Danse macabre
uc1.32106017944551,King,Cujo
